DATE,CURRENCY,IMPACT,EVENT,ACTUAL,FORECAST,PREVIOUS
2014-01-31 09:30:00,USD,Medium Impact Expected,Core PCE Price Index m/m,0.1%,0.1%,0.1%
2014-01-31 09:30:00,USD,Medium Impact Expected,Employment Cost Index q/q,0.5%,0.4%,0.4%
2014-01-31 09:30:00,USD,Medium Impact Expected,Personal Spending m/m,0.4%,0.2%,0.6%
2014-01-31 09:30:00,USD,Low Impact Expected,Personal Income m/m,0.0%,0.2%,0.2%
2014-01-31 10:45:00,USD,Medium Impact Expected,Chicago PMI,59.6,59.8,59.1
2014-01-31 10:55:00,USD,Medium Impact Expected,Revised UoM Consumer Sentiment,81.2,81.1,80.4
2014-01-31 10:55:00,USD,Low Impact Expected,Revised UoM Inflation Expectations,3.1%,,3.0%
2014-01-31 14:15:00,USD,Medium Impact Expected,FOMC Member Fisher Speaks,,,
2014-01-31 21:00:00,CNY,High Impact Expected,Manufacturing PMI,50.5,50.6,51.0
2014-02-02 18:23:00,AUD,Low Impact Expected,AIG Manufacturing Index,46.7,,47.6
2014-02-02 19:30:00,AUD,Low Impact Expected,MI Inflation Gauge m/m,0.1%,,0.7%
2014-02-02 00:00:00,CNY,Non-Economic,Bank Holiday,,,
2014-02-02 20:30:00,AUD,High Impact Expected,Building Approvals m/m,-2.9%,-0.3%,-0.3%
2014-02-02 20:30:00,AUD,Medium Impact Expected,ANZ Job Advertisements m/m,-0.3%,,-0.8%
2014-02-02 20:49:00,CNY,Medium Impact Expected,Non-Manufacturing PMI,53.4,,54.6
2014-02-03 01:30:00,AUD,Low Impact Expected,Commodity Prices y/y,-9.9%,,-3.6%
2014-02-03 04:15:00,EUR,Medium Impact Expected,Spanish Manufacturing PMI,52.2,51.3,50.8
2014-02-03 04:30:00,CHF,Medium Impact Expected,Manufacturing PMI,56.1,55.1,53.9
2014-02-03 04:45:00,EUR,Medium Impact Expected,Italian Manufacturing PMI,53.1,54.2,53.3
2014-02-03 04:50:00,EUR,Low Impact Expected,French Final Manufacturing PMI,49.3,48.8,48.8
2014-02-03 04:55:00,EUR,Low Impact Expected,German Final Manufacturing PMI,56.5,56.3,56.3
2014-02-03 05:00:00,EUR,Low Impact Expected,Final Manufacturing PMI,54.0,53.9,53.9
2014-02-03 05:30:00,GBP,High Impact Expected,Manufacturing PMI,56.7,57.1,57.2
2014-02-03 09:30:00,CAD,Medium Impact Expected,RMPI m/m,1.9%,2.1%,-4.2%
2014-02-03 09:30:00,CAD,Low Impact Expected,IPPI m/m,0.7%,0.4%,0.2%
2014-02-03 10:00:00,USD,Medium Impact Expected,Treasury Sec Lew Speaks,,,
2014-02-03 10:00:00,USD,Low Impact Expected,Final Manufacturing PMI,53.7,53.8,53.7
2014-02-03 10:30:00,CAD,Low Impact Expected,Manufacturing PMI,51.7,,53.5
2014-02-03 11:00:00,USD,High Impact Expected,ISM Manufacturing PMI,51.3,56.2,57.0
2014-02-03 11:00:00,USD,Low Impact Expected,Construction Spending m/m,0.1%,0.3%,0.8%
2014-02-03 11:00:00,USD,Low Impact Expected,ISM Manufacturing Prices,60.5,54.2,53.5
2014-02-03 00:00:00,USD,Low Impact Expected,Total Vehicle Sales,15.2M,15.6M,15.4M
2014-02-03 15:00:00,USD,Low Impact Expected,Loan Officer Survey,,,
2014-02-03 19:50:00,JPY,Low Impact Expected,Monetary Base y/y,51.9%,47.2%,46.6%
2014-02-03 20:00:00,NZD,Low Impact Expected,ANZ Commodity Prices m/m,1.2%,,1.0%
2014-02-03 00:00:00,CNY,Non-Economic,Bank Holiday,,,
2014-02-03 23:30:00,AUD,High Impact Expected,Cash Rate,2.50%,2.50%,2.50%
2014-02-03 23:30:00,AUD,High Impact Expected,RBA Rate Statement,,,
2014-02-03 23:45:00,JPY,Low Impact Expected,10-y Bond Auction,0.60|3.2,,0.72|3.8
2014-02-04 04:00:00,EUR,Medium Impact Expected,Spanish Unemployment Change,113.1K,-21.3K,-107.6K
2014-02-04 05:30:00,GBP,High Impact Expected,Construction PMI,64.6,61.6,62.1
2014-02-04 06:00:00,EUR,Low Impact Expected,PPI m/m,0.2%,0.3%,-0.1%
2014-02-04 06:00:00,EUR,Low Impact Expected,Italian Prelim CPI m/m,0.2%,0.3%,0.2%
2014-02-04 09:30:00,NZD,Low Impact Expected,GDT Price Index,0.5%,,1.4%
2014-02-04 11:00:00,USD,Medium Impact Expected,Factory Orders m/m,-1.5%,-1.9%,1.5%
2014-02-04 11:00:00,USD,Low Impact Expected,IBD/TIPP Economic Optimism,44.9,46.1,45.2
2014-02-04 17:45:00,NZD,High Impact Expected,Employment Change q/q,1.1%,0.6%,1.2%
2014-02-04 17:45:00,NZD,High Impact Expected,Unemployment Rate,6.0%,6.0%,6.2%
2014-02-04 17:45:00,NZD,Low Impact Expected,Labor Cost Index q/q,0.6%,0.5%,0.4%
2014-02-04 18:01:00,AUD,Low Impact Expected,AIG Services Index,49.3,,46.1
2014-02-04 00:00:00,CNY,Non-Economic,Bank Holiday,,,
2014-02-04 20:01:00,GBP,Low Impact Expected,BRC Shop Price Index y/y,-1.0%,,-0.8%
2014-02-04 21:30:00,JPY,Medium Impact Expected,Average Cash Earnings y/y,0.8%,0.7%,0.6%
